"trial","gen","n","g","z","w","n.pop0","alpha","evolve","design"
38,5,1,-0.2,0.252857526302145,0.820844827621486,100,0.0035,TRUE,0
39,1,100,5.70967969085179e-19,0.0479165271567921,0.766377439805358,100,0,FALSE,0
39,2,75,0.0346666666666667,0.0581482171706286,0.785434078895961,100,0,FALSE,0
39,3,68,-0.0411764705882353,-0.0135443405911711,0.744296131527875,100,0,FALSE,0
39,4,51,0.0313725490196078,0.0157064238662169,0.786271977531956,100,0,FALSE,0
39,5,41,-0.00975609756097561,0.073019207751359,0.82275281631304,100,0,FALSE,0
39,6,34,-0.0882352941176471,-0.40292852423093,0.575838082177313,100,0,FALSE,0
39,7,17,-0.0823529411764706,-0.252477035659987,0.673055105856419,100,0,FALSE,0
39,8,6,-0.0666666666666667,0.509199014598983,0.999471351509828,100,0,FALSE,0
39,9,10,-0.06,-0.130050267965398,0.64146766433344,100,0,FALSE,0
39,10,2,0.2,-1.07504953029954,0.370596284341023,100,0,FALSE,0
39,11,1,0.4,-0.0329823811110073,0.663172642471865,100,0,FALSE,0
40,1,100,-0.108,-0.14346301690578,0.700253295988281,100,0.0035,FALSE,0
40,2,69,0.0927536231884058,0.11882672700695,0.80668372730458,100,0.0035,FALSE,0
40,3,38,0.157894736842105,0.0455870186084879,0.795431126582249,100,0.0035,FALSE,0
40,4,24,0.0416666666666667,-0.23816295628713,0.641688580507684,100,0.0035,FALSE,0
40,5,8,0.4,0.566880682267495,1.06164663296526,100,0.0035,FALSE,0
40,6,7,-0.314285714285714,-0.336748425228744,0.556793736086663,100,0.0035,FALSE,0
40,7,10,0.04,0.021352377899525,0.76725809043356,100,0.0035,FALSE,0
40,8,8,-0.325,-0.362780328206114,0.523851921871163,100,0.0035,FALSE,0
40,9,3,-1,-0.597726073134009,0.416079763692216,100,0.0035,FALSE,0
40,10,3,-0.0666666666666667,0.384533421541793,0.97032855765648,100,0.0035,FALSE,0
40,11,1,0,0.804422027407988,1.16125616969694,100,0.0035,FALSE,0
41,1,20,-0.08,-0.477372679461044,0.603351617381875,20,0,TRUE,0
