"trial","gen","n","gbar","zbar","wbar","p.fix.pos","p.fix.neg","v","n.pop0","alpha","low.var","ext.gen","extinct"
3632,7,23,0.504347826086956,0.694425245377669,1.11664692094557,0,0,0.404952741020794,20,0,FALSE,15,FALSE
3632,8,21,0.314285714285714,0.480307348204869,1.00742932402957,0,0,0.382040816326531,20,0,FALSE,15,FALSE
3632,9,34,0.252941176470588,0.127207587986077,0.820540847201836,0,0.04,0.379186851211073,20,0,FALSE,15,FALSE
3632,10,23,0.356521739130435,0.43299656224764,0.981229094623551,0,0.04,0.349867674858223,20,0,FALSE,15,FALSE
3632,11,25,0.6,0.519789105145477,1.02502935102609,0,0.08,0.322432,20,0,FALSE,15,FALSE
3632,12,14,0.428571428571429,0.523187569090073,1.02370444412487,0.08,0.08,0.316122448979592,20,0,FALSE,15,FALSE
3632,13,5,0.44,0.473599352230356,1.02427751727625,0.16,0.16,0.2576,20,0,FALSE,15,FALSE
3632,14,13,0.815384615384615,0.660310580664761,1.08590519407491,0.32,0.16,0.209467455621302,20,0,FALSE,15,FALSE
3632,15,12,0.733333333333333,0.670411482616873,1.10027958500952,0.32,0.16,0.205555555555556,20,0,FALSE,15,FALSE
3633,1,20,0.03,0.0902399733181704,0.826472743927045,0,0,0.49155,20,0,FALSE,15,FALSE
3633,2,19,0.326315789473684,0.518281251208436,1.03154113039466,0,0,0.454072022160665,20,0,FALSE,15,FALSE
3633,3,23,0.226086956521739,0.192283092449466,0.853046453591233,0,0,0.415085066162571,20,0,FALSE,15,FALSE
3633,4,15,0.373333333333333,0.766476675254176,1.15280023159078,0,0,0.414844444444444,20,0,FALSE,15,FALSE
3633,5,27,0.77037037037037,0.720047350187832,1.11197767413712,0.04,0,0.407050754458162,20,0,FALSE,15,FALSE
3633,6,24,0.941666666666667,0.825075903026339,1.13472986725903,0.04,0,0.382951388888889,20,0,FALSE,15,FALSE
3633,7,16,0.8125,0.971114925521138,1.26237027793942,0.08,0,0.380078125,20,0,FALSE,15,FALSE
3633,8,17,0.705882352941177,0.866720688008182,1.21284270031909,0.08,0,0.361176470588235,20,0,FALSE,15,FALSE
3633,9,27,0.807407407407407,0.977410594040835,1.2621059861035,0.08,0,0.357530864197531,20,0,FALSE,15,FALSE
3633,10,55,0.956363636363636,0.999920370832486,1.27516298381615,0.08,0,0.357090909090909,20,0,FALSE,15,FALSE
3633,11,66,0.884848484848485,0.950818927997009,1.25138205450449,0.08,0,0.343296602387511,20,0,FALSE,15,FALSE
3633,12,66,0.878787878787879,0.848650085957724,1.19858412809349,0.08,0,0.337832874196511,20,0,FALSE,15,FALSE
3633,13,81,0.893827160493827,0.812186412197976,1.16808290989462,0.08,0,0.338658741045572,20,0,FALSE,15,FALSE
3633,14,88,0.979545454545454,0.841032133739394,1.19090893856826,0.08,0,0.326691632231405,20,0,FALSE,15,FALSE
3633,15,106,1.07169811320755,1.0186402853398,1.27644160354136,0.12,0,0.313574225703097,20,0,FALSE,15,FALSE
3634,1,20,-0.02,0.198440908495769,0.824399554121345,0,0,0.4834,20,0,FALSE,7,TRUE
3634,2,17,0.317647058823529,0.6182379981853,1.08899204507965,0,0,0.449688581314879,20,0,FALSE,7,TRUE
3634,3,18,0.555555555555556,0.559933168712474,1.0362073778936,0,0,0.430493827160494,20,0,FALSE,7,TRUE
3634,4,13,0.615384615384615,0.62044119021,1.09052350493977,0,0,0.406508875739645,20,0,FALSE,7,TRUE
3634,5,13,0.907692307692308,0.876370004627743,1.14818728730808,0.04,0,0.356213017751479,20,0,FALSE,7,TRUE
3634,6,9,0.955555555555555,1.15637420007927,1.39225002489023,0.12,0.08,0.317037037037037,20,0,FALSE,7,TRUE
3634,7,1,1.4,1.35935032150156,1.52561905683528,0.44,0.16,0.2,20,0,FALSE,7,TRUE
3635,1,20,0.03,0.288818602718966,0.932266187760603,0,0,0.48525,20,0,FALSE,5,TRUE
3635,2,19,0.336842105263158,0.253271732278191,0.901020820401176,0,0,0.473850415512465,20,0,FALSE,5,TRUE
3635,3,14,0.7,0.682554942466167,1.11085370256861,0,0,0.439489795918367,20,0,FALSE,5,TRUE
