"n.pop0","gen","ext.gen","gbar","gvar","zbar","zvar","wbar","wvar","n","gvar_win","gvar_amg","gvar_var","zvar_win","zvar_amg","zvar_var","wvar_win","wvar_amg","wvar_var"
20,9,13,0.360492527080762,0.0419092902218321,0.445862737179226,0.087402457736945,0.986966592096734,0.0271726735649499,20,0.0223640607305404,0.0486237585800455,0.000814888351892899,0.115610756308898,0.0473850271927299,0.00399753065047655,0.0349504299921745,0.0155234534672037,0.000616632265551083
20,9,14,0.362074214841132,0.0530647461610294,0.491874505181567,0.135041440638326,0.997349084396786,0.0392622610542786,14,0.00103551136264499,0.0597008339143654,1.92123005040133e-06,0.0305896917220444,0.149269400049846,0.0012038620736461,0.0117187797606866,0.0427188062629555,0.000194490813322697
20,9,15,0.843289418246671,0.10144575763955,0.84569557149464,0.118093213851145,1.19631706345578,0.0339464984709021,571,0.0638559941392474,0.102867908886474,0.0011204929389235,0.0825866533535744,0.103082501791817,0.00171684073627987,0.0243935402437041,0.0285400905760396,0.00014224272729693
20,10,10,0.282380952380952,0.110797759103641,0.265069796300276,0.354548704613994,0.88695415070562,0.099906964531092,35,0.114440164609054,0.0666321142857143,0.00871810854551136,0.474179509237263,0.103071786097172,0.183749805131728,0.1390104814243,0.0271903205477812,0.0183425815065399
20,10,11,0.20490860990861,0.10689189977057,0.201592749688984,0.218263954021765,0.856799237649475,0.0606666408747572,33,0.0748256125598387,0.0925784717986177,0.00358852289373166,0.189852335089616,0.17541678650969,0.0267611838525155,0.0556752827594825,0.0483483643246704,0.00165179054206
20,10,12,0.366888522105913,0.13589285943659,0.311152360676584,0.170258299807618,0.911830615160023,0.0433163180204704,23,0.0893117696386393,0.117676845587484,0.0300329439324209,0.13260623379869,0.140003364472979,0.0346898017868723,0.0297448667776775,0.0381080410460819,0.00206276744902988
20,10,13,0.28531746031746,0.0554316386203604,0.259561458885904,0.109240185943295,0.880411203177781,0.0301816411792791,20,0.0312242833347331,0.0591548358946397,0.00228405429751323,0.0582839854262487,0.110965253906156,0.00540623815558344,0.016108093764013,0.0325715591774608,0.000500877744538804
20,10,14,0.396736596736597,0.068423064946188,0.451732509616957,0.173879412794581,0.990729428249157,0.0493365758451308,14,0.0088334698518265,0.0738765905758226,1.16792359140629e-05,0.206316142061551,0.157248363060662,0.0396746294552931,0.0549920713645131,0.0448869729697041,0.00325288388179723
20,10,15,0.875460788120173,0.100569100348619,0.886509938696534,0.11993700341938,1.21804186366203,0.0339609599470035,571,0.065237884297876,0.11337831502511,0.000925675400679382,0.111789374116077,0.0801512086114021,0.00552663940065979,0.0319084499988092,0.0233693903313935,0.000459878876844965
20,11,11,0.276825396825397,0.115266208427816,0.261525036230573,0.32091126609292,0.883509971979089,0.0844247594866022,33,0.0752108321995465,0.0940048396255188,0.00635907652814277,0.373948399956365,0.212953063385538,0.230532467000757,0.0890006014402607,0.0587640923984342,0.0117933766051184
20,11,12,0.329598155467721,0.116339622265243,0.321356613847415,0.375259273615032,0.910627155357221,0.0993981512560867,23,0.0632855022082295,0.109764599652992,0.00887487660722184,0.162891865226408,0.405004200574735,0.0278570153533651,0.0503053839788949,0.0960298464247229,0.00184816712822893
20,11,13,0.363535714285714,0.10487796440506,0.415000201464346,0.194598035369857,0.969689449564185,0.057687033612227,20,0.0741247952884858,0.0862972038506761,0.00437521306243232,0.203796936346452,0.10398473744348,0.0754572578395602,0.0604902814545658,0.0319823546869149,0.00671790094406682
20,11,14,0.406358403501261,0.0824560614717886,0.486579394317206,0.162458862163946,1.01002011981198,0.0504149546489885,14,0.0036,0.0919585181200566,2.592e-05,0.0028140262625755,0.181055172623036,1.06280407965577e-05,0.000159467717840445,0.0565151083877054,5.8197394523714e-09
20,11,15,0.895783663795813,0.0996992790667113,0.893159354773973,0.109961875867024,1.22140102191268,0.0314458721546702,571,0.0666715111914499,0.0823164955169565,0.0014699146370751,0.0763914740529717,0.102812828031157,0.00132281876486428,0.0228341274345293,0.0281944322186047,0.000135118905457613
20,12,12,0.365217391304348,0.114821036451471,0.278688025181674,0.294564871537405,0.882495249529807,0.087549403182539,23,0.0511944444444444,0.0901147095959596,0.00466256018518519,0.260352236670958,0.141523747730516,0.0684275094420391,0.0792108801138356,0.0427042534506863,0.00604974986139117
20,12,13,0.349425213675214,0.113412238115698,0.369710099090918,0.277612554112958,0.938970835043062,0.0844437307310243,20,0.100851891725717,0.0747396962170466,0.011111577754741,0.317923647733998,0.141418546939423,0.110440795012873,0.101157326120091,0.0424385020831212,0.0132781185480515
20,12,14,0.468758503401361,0.0575109556826394,0.449143037196482,0.0959549214899505,0.974798248657132,0.0279169812673989,14,0.0123222222222222,0.0623517260186903,4.90888888888892e-06,0.0269738426132345,0.103021215798727,0.00137363883871431,0.0066477025069026,0.0298648725406777,6.37952403250679e-05
20,12,15,0.916471564870283,0.10536672492265,0.918688582056902,0.117037935591408,1.23497594004317,0.0334770570745985,571,0.067308243882034,0.0857446776880301,0.0013912962363042,0.0785058730843786,0.138392023448715,0.00236674508854898,0.0231129794138364,0.0392197961525262,0.000203665193984536
20,13,13,0.2865,0.127202894736842,0.197211362327706,0.393322293660693,0.852037613029012,0.0914393181201111,20,0.133905555555556,0.0993016835016835,0.0208675441851852,0.102892363421036,0.429747554906488,0.0193616524925918,0.0290959084961608,0.0916555682066213,0.000942374752741082
20,13,14,0.481666666666667,0.0975146258503402,0.546972217894624,0.102504789022406,1.03621194990907,0.0329169662696445,14,0.0549036281179138,0.0893123479694908,0.00582881676102035,0.13099738495131,0.0909875673043059,0.0342034805560972,0.0415901894743137,0.0294888078136434,0.00344509294985552
20,13,15,0.941826092330218,0.106959471113717,0.927540931234903,0.130756293282391,1.23899539407328,0.0373200300350059,571,0.0727842860471191,0.100730975294023,0.00181009782279542,0.0957584698783343,0.0776292245558171,0.0044542612917951,0.0277435663836448,0.0231584838370659,0.000332648861968478
20,14,14,0.496190476190476,0.0965313797313797,0.30626390285203,0.350619330578626,0.890147007953106,0.113174700784444,14,0.0111111111111111,0.095837037037037,0.000158024691358025,0.019231911907437,0.380582905173553,0.000373579522562865,0.00283948438914444,0.123396462859356,8.39106130782137e-06
20,14,15,0.96134806892153,0.110752127458909,0.965000470548653,0.127273399048425,1.25906759773035,0.0360163307728418,571,0.0759834865851867,0.0984566257482598,0.00200600719885909,0.107116912189061,0.140250339708212,0.0035507345873495,0.0312694785626087,0.0381668229397361,0.000283344146261177
20,15,15,0.979499060635231,0.113405437823365,0.978511709782037,0.128214001250377,1.26605988460624,0.0362044193147659,571,0.0787601670163428,0.0990147407844997,0.00229373203527867,0.119947997782445,0.0991057569240929,0.00510802003096593,0.0341792611983086,0.0306443977665911,0.000412787680669056
60,1,2,-0.55,,-0.776487544782975,,0.410129157957356,,1,,,,,,,,,
60,1,3,-0.531333333333333,0.00482666666666667,-0.589826421057332,0.0132981763748621,0.496357800222692,0.0020437695694112,15,0.00294456790123457,0.00536395267489712,5.48753090992226e-06,0.0172285626247816,0.00378411142977836,7.64383534921759e-05,0.00252936228922126,0.000688756543189378,2.16190947155036e-06
60,1,4,-0.497186147186147,0.0136780891622997,-0.514782740867032,0.0209852655438583,0.525799402870897,0.00356980517495501,77,0.0039384900172779,0.0295234876314963,2.59858855485393e-05,0.0207497192013545,0.0216803677927146,0.00141578963719627,0.00385997315051904,0.00352512392593183,3.57174729729124e-05
60,1,5,-0.446782273603083,0.0158578676942839,-0.456313208380766,0.0249798629089591,0.55002245371064,0.00440866122162338,173,0.00220876230975739,0.0238081667018898,3.32603990912718e-06,0.0145797456625744,0.0187034631174281,8.2760369377712e-05,0.0029656856017039,0.00335596131035834,7.78261874148443e-06
60,1,6,-0.397418300653595,0.025150061710508,-0.396587718556846,0.0313157432418012,0.573859249902919,0.00580421806653394,204,0.00378154566736368,0.0552311407565474,3.74500784568726e-06,0.0128052052320415,0.060801201396556,2.15663321262338e-05,0.00268653776129359,0.0117825501502054,1.80569725535074e-06
60,1,7,-0.337491039426523,0.0423118692886435,-0.345371090912525,0.0469936500515759,0.597032597356136,0.00879270941685653,186,0.00214820698040254,0.0702852992692542,1.52969287758327e-06,0.00998388907530721,0.0675678364608956,1.81022868029456e-05,0.00195199108579973,0.0137468007393449,9.42501449385559e-07
60,1,8,-0.315994832041344,0.0357669062230836,-0.31391812316693,0.0404615721608865,0.609351002678943,0.00791548221319885,129,0.00289390118958746,0.0644269307168272,2.33558356188176e-06,0.01125572219605,0.058743919567791,6.70601324564718e-05,0.00224312902539204,0.0121648900999546,2.58126058481507e-06
60,1,9,-0.25921768707483,0.0550086600275849,-0.249375493886335,0.0628668829421511,0.640321290802056,0.0125284942922939,98,0.00254284575074049,0.0937304523810738,2.43277932429281e-06,0.0113050231847723,0.0938089555689513,6.60605925354761e-05,0.00234858984053692,0.0198534290605905,3.56058091847661e-06
60,1,10,-0.252222222222222,0.052025754985755,-0.239263802305486,0.0520265466152459,0.64499772181715,0.0110724787545017,66,0.00267271604938272,0.0938832094400798,6.51729189452827e-06,0.0111986722378361,0.0858800033905285,6.68997457728869e-05,0.00244617112556214,0.0182988723849343,4.04622233152052e-06
60,1,11,-0.13837037037037,0.0543720314253648,-0.136834442153745,0.0646502321445535,0.690185175160227,0.0136234783822174,45,0.0020476430976431,0.0869767043545813,5.02538847533028e-06,0.0126187056098281,0.0951669284097833,6.33086298639582e-05,0.00264562925220318,0.020959943163728,3.85402331092248e-06
60,1,12,-0.142146892655367,0.0644458860964998,-0.140788076699814,0.0594010131931861,0.689632333034004,0.0136865672777194,59,0.00357511982570806,0.0875934539829512,2.73514094133281e-05,0.00848544181546967,0.0716712042322824,4.58635122090646e-05,0.00226597195885821,0.0160102976039126,3.54598810384252e-06
60,1,13,-0.17875,0.0650916062801932,-0.150871206656571,0.0970154260592071,0.686939343401269,0.0195735691749905,24,0.0038917695473251,0.0804327754036087,4.61923817825026e-05,0.00618358085448117,0.121333384923083,2.11969582381848e-05,0.00147429872307425,0.0246743808987512,1.78244919232388e-06
60,1,14,-0.0582716049382716,0.0805960430515986,-0.0339155638367194,0.091913930222317,0.741898391419547,0.0198478103493221,27,0.00346507936507936,0.123463036449148,1.0442819419949e-05,0.00892227486055704,0.135470468813353,6.68212913356936e-05,0.00194533936883528,0.0294979793799812,2.50517553291589e-06
