"trial","gen","sigma.a"
33,15,0.381883401920439
34,1,0.48521875
34,2,0.470854591836735
34,3,0.450424382716049
34,4,0.3771484375
34,5,0.370679012345679
34,6,0.356666666666667
34,7,0.351333333333333
34,8,0.326813271604938
34,9,0.309567901234568
34,10,0.3045
34,11,0.298979591836735
34,12,0.297704081632653
34,13,0.2375
35,1,0.48865625
35,2,0.460905612244898
35,3,0.433833333333333
35,4,0.426040428061831
35,5,0.418860946745562
35,6,0.418912197231834
35,7,0.419690743944637
35,8,0.420732410611303
35,9,0.415460722078953
35,10,0.408972334810067
35,11,0.405404974489796
35,12,0.397527126318937
35,13,0.397446172839506
35,14,0.391758286146547
35,15,0.391136293504375
36,1,0.4844375
36,2,0.46625
36,3,0.448594674556213
36,4,0.4075
36,5,0.33984375
36,6,0.315
36,7,0.2965
36,8,0.2923828125
36,9,0.272
36,10,0.270625
36,11,0.263313609467456
36,12,0.25827664399093
36,13,0.252970041322314
36,14,0.256877162629758
36,15,0.254545454545455
37,1,0.48659375
37,2,0.478254132231405
37,3,0.475813609467456
37,4,0.448341049382716
37,5,0.4095
38,1,0.49059375
38,2,0.464677640603567
38,3,0.447596153846154
38,4,0.429552469135802
38,5,0.416771449704142
38,6,0.412397959183673
38,7,0.403266776937618
38,8,0.39746980424823
38,9,0.389900548696845
38,10,0.382269975101856
38,11,0.378204752298743
38,12,0.370787649776803
38,13,0.372274018539878
38,14,0.372249984422012
38,15,0.370131822307761
39,1,0.48359375
39,2,0.453114186851211
39,3,0.4
40,1,0.48315625
40,2,0.445875
40,3,0.376375
40,4,0.3482421875
40,5,0.335502958579882
40,6,0.307
40,7,0.275
41,1,0.488125
41,2,0.45593112244898
41,3,0.431286982248521
41,4,0.411505190311419
41,5,0.40575
41,6,0.41005859375
41,7,0.381689453125
41,8,0.371709157127992
41,9,0.376219512195122
41,10,0.366958161865569
41,11,0.362430747922438
41,12,0.35826416015625
41,13,0.353895833333333
41,14,0.350760954808352
41,15,0.343194799529259
42,1,0.4893125
42,2,0.469375
42,3,0.3796875
42,4,0.354625
42,5,0.334684917355372
42,6,0.32334693877551
42,7,0.327596748185972
42,8,0.321400510204082
42,9,0.32460798156956
42,10,0.317562585733882
42,11,0.313457352717624
42,12,0.311467530681906
42,13,0.308837526478415
42,14,0.308740647867261
42,15,0.308564321044878
43,1,0.48575
43,2,0.473788265306122
43,3,0.418375
43,4,0.373
43,5,0.329861111111111
43,6,0.276
43,7,0.257908163265306
43,8,0.221875
44,1,0.485875
44,2,0.466468253968254
44,3,0.441186200378072
44,4,0.421237024221453
44,5,0.387308673469388
