"trial","gen","n","g","z","w","sourcepops","n.pop0","alpha","evolve","block","repct"
21,3,5,0.12,-0.464172490568672,0.495936139142278,3,20,0.0035,TRUE,3,1
21,4,2,-0.1,-0.104773640896246,0.644826413629293,3,20,0.0035,TRUE,3,1
21,5,2,-0.2,-0.9088793351803,0.299716788838516,3,20,0.0035,TRUE,3,1
21,6,2,-0.3,-0.221453787723955,0.58169398859006,3,20,0.0035,TRUE,3,1
22,1,100,-0.244,-0.31298065003513,0.594563974142501,3,100,0.0035,TRUE,3,1
22,2,31,-0.193548387096774,-0.214383781288796,0.646819823688385,3,100,0.0035,TRUE,3,1
22,3,18,-0.288888888888889,-0.410391571545636,0.573253329158895,3,100,0.0035,TRUE,3,1
22,4,3,-0.133333333333333,-0.640254618375684,0.507830200579901,3,100,0.0035,TRUE,3,1
22,5,3,-0.2,-0.250091703867858,0.586973026411928,3,100,0.0035,TRUE,3,1
23,1,20,-0.29,-0.418376568982959,0.534649227291167,3,20,0.0035,FALSE,3,1
23,2,15,0.133333333333333,0.17120425849638,0.834055157217758,3,20,0.0035,FALSE,3,1
23,3,17,-0.0352941176470588,0.0677800457508317,0.802477157028837,3,20,0.0035,FALSE,3,1
23,4,14,-0.0142857142857143,-0.0840249746225126,0.72709206827238,3,20,0.0035,FALSE,3,1
23,5,25,0.16,-0.0403553899456435,0.759233616360579,3,20,0.0035,FALSE,3,1
23,6,13,-0.369230769230769,-0.146873915086939,0.712932859441209,3,20,0.0035,FALSE,3,1
23,7,7,0.285714285714286,-0.139703667888852,0.663211201599676,3,20,0.0035,FALSE,3,1
23,8,6,0.0333333333333333,-0.178779977190041,0.606534668550075,3,20,0.0035,FALSE,3,1
23,9,3,0.133333333333333,0.816358251224573,1.17037544766013,3,20,0.0035,FALSE,3,1
24,1,100,-0.36,-0.27331687556087,0.613253779483663,3,100,0.0035,FALSE,3,1
24,2,44,0.0954545454545455,0.218862276199418,0.859343110340254,3,100,0.0035,FALSE,3,1
24,3,37,-0.162162162162162,-0.247236407589063,0.641854766145073,3,100,0.0035,FALSE,3,1
24,4,20,-0.1,-0.0858997518523125,0.702016070823083,3,100,0.0035,FALSE,3,1
24,5,8,0.375,-0.155082568858242,0.700908752061234,3,100,0.0035,FALSE,3,1
24,6,10,0.32,0.596446687264163,1.03821107730989,3,100,0.0035,FALSE,3,1
24,7,4,0.4,-0.0987321517374749,0.646644272347998,3,100,0.0035,FALSE,3,1
24,8,1,-1.2,-1.66892639318793,0.12597897263958,3,100,0.0035,FALSE,3,1
25,1,20,0.34,0.44366378958517,0.968741044987585,4,20,0,TRUE,4,1
25,2,18,0.422222222222222,0.234008167438192,0.874808856767479,4,20,0,TRUE,4,1
25,3,26,0.576923076923077,0.47005626700083,0.977398437937812,4,20,0,TRUE,4,1
