"n.pop0","gen","ext.gen","p.fix.pos","p.fix.neg","vbar","vvar","n"
20,8,10,0.183157894736842,0.114105263157895,0.267578884896032,0.00454862705317405,95
20,8,11,0.138536585365854,0.0912195121951219,0.29405519335861,0.00329070055492144,82
20,8,12,0.152542372881356,0.0888135593220339,0.291193225278222,0.00420268150899651,59
20,8,13,0.134358974358974,0.0841025641025641,0.291449416993517,0.00496638123526855,39
20,8,14,0.169655172413793,0.0924137931034483,0.270764880836707,0.00713034494263172,29
20,8,15,0.120195530726257,0.0437988826815642,0.308757961566651,0.00411840805068206,1432
20,9,9,0.341666666666667,0.259666666666667,0.172369375,0.0044216082689416,120
20,9,10,0.249684210526316,0.173473684210526,0.221818999809575,0.00473221852629983,95
20,9,11,0.179512195121951,0.126829268292683,0.265037415278832,0.00431523372758132,82
20,9,12,0.195932203389831,0.11864406779661,0.263018697620489,0.00471635300296804,59
20,9,13,0.16,0.102564102564103,0.268794064478167,0.00479379100810511,39
20,9,14,0.198620689655172,0.124137931034483,0.242379290575323,0.00661012012044057,29
20,9,15,0.140754189944134,0.0516759776536313,0.295128846963224,0.00444908904220967,1432
20,10,10,0.348210526315789,0.265684210526316,0.164878687326783,0.00495259511969297,95
20,10,11,0.23609756097561,0.171219512195122,0.229324424999657,0.00442375471307316,82
20,10,12,0.243389830508475,0.153898305084746,0.230569070695472,0.00538756102090857,59
20,10,13,0.202051282051282,0.135384615384615,0.241796137089248,0.00490404942305746,39
20,10,14,0.238620689655172,0.15448275862069,0.215684418881713,0.00619114581634376,29
20,10,15,0.157402234636872,0.0583798882681564,0.283585012043597,0.00464421466975264,1432
20,11,11,0.340487804878049,0.28,0.160893512872629,0.00473843641489745,82
20,11,12,0.293559322033898,0.195254237288136,0.200130729985293,0.00500449272690914,59
20,11,13,0.25025641025641,0.164102564102564,0.217353279190672,0.00436574524285564,39
20,11,14,0.282758620689655,0.190344827586207,0.192158800498321,0.00654831188059839,29
20,11,15,0.172513966480447,0.0641899441340782,0.273560636323514,0.00479972538884635,1432
20,12,12,0.389152542372881,0.282033898305085,0.139363834121219,0.0035127268406095,59
20,12,13,0.312820512820513,0.206153846153846,0.181503164589673,0.00347693145378343,39
20,12,14,0.303448275862069,0.227586206896552,0.171576653612616,0.00630445569625813,29
20,12,15,0.184050279329609,0.0689385474860335,0.264467579068465,0.00491803926633854,1432
20,13,13,0.393846153846154,0.262564102564103,0.141231251332442,0.00329061106257456,39
20,13,14,0.355862068965517,0.253793103448276,0.143431346328121,0.00503894610521706,29
20,13,15,0.196284916201117,0.0738547486033519,0.256772723206188,0.0050473906356611,1432
20,14,14,0.423448275862069,0.322758620689655,0.108136590038314,0.00335353384814207,29
20,14,15,0.207346368715084,0.0795810055865922,0.249437732444427,0.00527056619102746,1432
20,15,15,0.217513966480447,0.0852513966480447,0.242546702878229,0.00547490621174042,1432
60,1,2,0,0,0.495494444444444,,1
60,1,3,0,0,0.495438888888889,1.16620370370376e-06,5
60,1,4,0,0,0.495877380952381,1.26809187109186e-06,56
60,1,5,0,0,0.495889105902778,1.49757091588595e-06,128
60,1,6,0,0,0.495730789473684,1.6537852183614e-06,190
60,1,7,0,0,0.4958903836572,1.30915608059479e-06,223
60,1,8,0,0,0.495697536687631,1.57152628880035e-06,212
60,1,9,0,0,0.495774829298572,1.50488808798126e-06,179
60,1,10,0,0,0.495784731670446,1.26497076083942e-06,147
60,1,11,0,0,0.495896596596597,1.09158483230704e-06,111
60,1,12,0,0,0.495983628841608,1.14958540224431e-06,94
60,1,13,0,0,0.49587246031746,1.24400557855993e-06,70
60,1,14,0,0,0.49588101010101,1.10410344182567e-06,55
60,1,15,0,0,0.495835623241913,1.36148305100894e-06,2528
60,2,2,0,0,0.486570247933884,,1
60,2,3,0,0,0.483238631656872,6.70477983898344e-05,5
60,2,4,0,0,0.483845668268677,3.30330585484869e-05,56
60,2,5,0,0,0.485061535399855,2.41917464251342e-05,128
60,2,6,0,0,0.485422261147419,1.95514110442144e-05,190
60,2,7,0,0,0.484965161782644,2.61019713383666e-05,223
