"trial","gen","n","g","z","w","n.pop0","alpha","evolve","design"
14,1,20,0.32,0.21731339695795,0.869343526526921,100,0,FALSE,1
14,2,19,0.652631578947368,0.709863766297897,1.13047692725093,100,0,FALSE,1
14,3,25,0.592,0.708805251288547,1.10610247652881,100,0,FALSE,1
14,4,23,0.556521739130435,0.791303593907366,1.14986695650251,100,0,FALSE,1
14,5,19,0.663157894736842,0.647683565884347,1.04317209421368,100,0,FALSE,1
14,6,13,0.892307692307692,0.86737875678417,1.18411972987005,100,0,FALSE,1
14,7,11,1.09090909090909,1.04444310560666,1.29893140790894,100,0,FALSE,1
14,8,12,1.05,0.713956706153754,1.10972392789371,100,0,FALSE,1
14,9,17,1.16470588235294,1.02675133055753,1.2732018177684,100,0,FALSE,1
14,10,15,1.10666666666667,0.994575313559629,1.2352026960009,100,0,FALSE,1
14,11,6,1.33333333333333,1.83462664645454,1.63711250925755,100,0,FALSE,1
14,12,8,1.35,1.33184363045655,1.46759704447523,100,0,FALSE,1
14,13,4,1.7,1.96132651877981,1.7999975201421,100,0,FALSE,1
14,14,9,1.48888888888889,1.88240853496218,1.70074434766711,100,0,FALSE,1
14,15,15,1.37333333333333,1.29972784609421,1.40649979482366,100,0,FALSE,1
15,1,20,0.32,0.470136742306662,0.985920881935631,20,0.0035,FALSE,1
15,2,12,0.283333333333333,0.155597685140395,0.816084043496634,20,0.0035,FALSE,1
15,3,5,-0.48,-0.576685121326301,0.476418545325122,20,0.0035,FALSE,1
15,4,8,0.125,0.154716243557764,0.827125373682303,20,0.0035,FALSE,1
15,5,6,0.0666666666666667,0.475994093275325,1.05995000228612,20,0.0035,FALSE,1
15,6,11,-0.2,-0.37736838275139,0.598150989214711,20,0.0035,FALSE,1
15,7,8,-0.225,-0.406310716551975,0.558810073925377,20,0.0035,FALSE,1
15,8,4,-0.2,-0.21433475907365,0.693375503980987,20,0.0035,FALSE,1
15,9,3,-0.466666666666667,-0.575835425543925,0.425723875622413,20,0.0035,FALSE,1
