"trial","gen","n","g","z","w","n.pop0","alpha","evolve","block","rep","design"
160,7,3,-0.133333333333333,-0.893230011353278,0.312357066535057,100,0.0035,FALSE,4,2,2
161,1,20,0.53,0.56803126824138,1.06174758379361,20,0,TRUE,4,3,2
161,2,25,1.016,0.877041768821685,1.20449925613573,20,0,TRUE,4,3,2
161,3,27,0.807407407407407,0.87253907720128,1.18762027472724,20,0,TRUE,4,3,2
161,4,17,0.941176470588235,1.11905397482193,1.32307424164211,20,0,TRUE,4,3,2
161,5,30,1.1,1.07554382545193,1.31843554224635,20,0,TRUE,4,3,2
161,6,33,0.909090909090909,0.861370444360586,1.17833538111103,20,0,TRUE,4,3,2
161,7,25,1.008,0.871602104760153,1.19552531131242,20,0,TRUE,4,3,2
161,8,32,0.96875,0.981167719270653,1.24209513799253,20,0,TRUE,4,3,2
161,9,47,0.974468085106383,0.890329531679836,1.20669976438528,20,0,TRUE,4,3,2
161,10,53,1.27924528301887,1.11007653337992,1.33893071157037,20,0,TRUE,4,3,2
161,11,87,1.29885057471264,1.31388405859313,1.40763165566027,20,0,TRUE,4,3,2
161,12,98,1.34897959183673,1.47228856025498,1.47477708365451,20,0,TRUE,4,3,2
161,13,150,1.38,1.39045755300116,1.46363846430502,20,0,TRUE,4,3,2
161,14,269,1.37100371747212,1.37178390786883,1.45324258132107,20,0,TRUE,4,3,2
161,15,386,1.42176165803109,1.4135619811948,1.46362538515379,20,0,TRUE,4,3,2
162,1,100,0.066,0.0280568321434406,0.76281586700428,100,0,TRUE,4,3,2
162,2,87,0.119540229885057,0.17318326758789,0.82988985513028,100,0,TRUE,4,3,2
162,3,71,0.284507042253521,0.351058737755647,0.9170743189066,100,0,TRUE,4,3,2
162,4,80,0.43,0.289175317897861,0.885802367444729,100,0,TRUE,4,3,2
162,5,63,0.403174603174603,0.541575206709731,1.02083243274936,100,0,TRUE,4,3,2
162,6,88,0.559090909090909,0.604141865692521,1.04888082822933,100,0,TRUE,4,3,2
162,7,79,0.605063291139241,0.792867341472558,1.17408695288038,100,0,TRUE,4,3,2
162,8,100,0.83,0.877148469430833,1.19040531187376,100,0,TRUE,4,3,2
162,9,118,0.993220338983051,1.09572411384775,1.31426604128045,100,0,TRUE,4,3,2
162,10,139,1.17410071942446,1.20491780256623,1.37504535067566,100,0,TRUE,4,3,2
162,11,172,1.23023255813953,1.28319019154219,1.40516682104416,100,0,TRUE,4,3,2
162,12,230,1.30782608695652,1.28043217736167,1.40564993765429,100,0,TRUE,4,3,2
