"trial","gen","n","g","z","w","n.pop0","alpha","evolve","sourcepop","block","rep","design"
137,13,546,1.34981684981685,1.31072390958899,1.42747186545928,20,0,TRUE,69,3,6,3
137,14,744,1.36747311827957,1.34436682625691,1.44284234585719,20,0,TRUE,69,3,6,3
137,15,1086,1.39963167587477,1.37838610299258,1.45296892784398,20,0,TRUE,69,3,6,3
138,1,100,0.584,0.491641385429817,1.00094873826945,100,0,TRUE,69,3,6,3
138,2,109,0.58348623853211,0.606277867359166,1.06090704667965,100,0,TRUE,69,3,6,3
138,3,107,0.758878504672897,0.808017920643433,1.16399814307511,100,0,TRUE,69,3,6,3
138,4,105,0.824761904761905,0.831082610750184,1.18112112007264,100,0,TRUE,69,3,6,3
138,5,119,0.936134453781513,0.8142908560717,1.16173700815925,100,0,TRUE,69,3,6,3
138,6,120,1.04833333333333,1.03784930880357,1.27069884212971,100,0,TRUE,69,3,6,3
138,7,169,1.07573964497041,1.11456505367817,1.3201019885179,100,0,TRUE,69,3,6,3
138,8,192,1.19166666666667,1.33887453633795,1.41566469440769,100,0,TRUE,69,3,6,3
138,9,244,1.26967213114754,1.23361371234168,1.37179383593025,100,0,TRUE,69,3,6,3
138,10,411,1.28807785888078,1.26279019151163,1.39656513575291,100,0,TRUE,69,3,6,3
138,11,556,1.33237410071942,1.35860734397469,1.44059669165801,100,0,TRUE,69,3,6,3
138,12,773,1.37231565329884,1.36228033247682,1.44609974718438,100,0,TRUE,69,3,6,3
138,13,1190,1.43327731092437,1.43003621038855,1.47109956616502,100,0,TRUE,69,3,6,3
138,14,1890,1.48835978835979,1.50258437775751,1.5085921375504,100,0,TRUE,69,3,6,3
138,15,2860,1.53867132867133,1.55370970826591,1.52712007048739,100,0,TRUE,69,3,6,3
139,1,20,1.5,1.61020154337417,1.53910284942906,20,0.0035,TRUE,70,3,6,3
139,2,21,1.42857142857143,1.30337571523396,1.44891280649285,20,0.0035,TRUE,70,3,6,3
139,3,18,1.41111111111111,1.42539754189979,1.47837908524209,20,0.0035,TRUE,70,3,6,3
139,4,35,1.42285714285714,1.54733302295241,1.53053918891312,20,0.0035,TRUE,70,3,6,3
139,5,56,1.60357142857143,1.44585415039268,1.50387862005129,20,0.0035,TRUE,70,3,6,3
139,6,90,1.63111111111111,1.66268724612007,1.60950357943496,20,0.0035,TRUE,70,3,6,3
139,7,92,1.65869565217391,1.65132629606401,1.58861212635217,20,0.0035,TRUE,70,3,6,3
139,8,87,1.60689655172414,1.57269700203368,1.56992362801767,20,0.0035,TRUE,70,3,6,3
139,9,97,1.58762886597938,1.56646834697352,1.52802539930059,20,0.0035,TRUE,70,3,6,3
139,10,146,1.56849315068493,1.51378836670713,1.51883892782312,20,0.0035,TRUE,70,3,6,3
139,11,162,1.64074074074074,1.66113751766034,1.58805280367457,20,0.0035,TRUE,70,3,6,3
139,12,147,1.64897959183673,1.60348610833426,1.566585924259,20,0.0035,TRUE,70,3,6,3
139,13,139,1.74244604316547,1.77755989172129,1.64923665036008,20,0.0035,TRUE,70,3,6,3
139,14,141,1.74893617021277,1.77865567163698,1.62868577580435,20,0.0035,TRUE,70,3,6,3
139,15,128,1.7671875,1.65968097231951,1.58649962972418,20,0.0035,TRUE,70,3,6,3
140,1,100,1.102,1.16196359139926,1.33201007756877,100,0.0035,TRUE,70,3,6,3
140,2,109,1.21467889908257,1.19227732174143,1.35884134231323,100,0.0035,TRUE,70,3,6,3
140,3,75,1.20533333333333,1.24242419445342,1.39906697574977,100,0.0035,TRUE,70,3,6,3
140,4,79,1.31645569620253,1.20350285296351,1.35088971451707,100,0.0035,TRUE,70,3,6,3
140,5,79,1.27088607594937,1.1593733744108,1.35783984976678,100,0.0035,TRUE,70,3,6,3
140,6,61,1.21639344262295,1.17110253817282,1.3763562463163,100,0.0035,TRUE,70,3,6,3
140,7,76,1.25789473684211,1.15147310159363,1.36111971855468,100,0.0035,TRUE,70,3,6,3
140,8,98,1.26122448979592,1.27582398400618,1.39782988789497,100,0.0035,TRUE,70,3,6,3
140,9,94,1.27446808510638,1.32052113165291,1.41806783141195,100,0.0035,TRUE,70,3,6,3
140,10,97,1.32371134020619,1.25583112906534,1.40239378883645,100,0.0035,TRUE,70,3,6,3
140,11,102,1.1921568627451,1.22607404438187,1.40172301590982,100,0.0035,TRUE,70,3,6,3
140,12,95,1.20631578947368,1.13069187850211,1.32399023809683,100,0.0035,TRUE,70,3,6,3
140,13,80,1.2075,1.26128592483782,1.41291042093435,100,0.0035,TRUE,70,3,6,3
140,14,90,1.21555555555556,1.24331908168023,1.3959370999146,100,0.0035,TRUE,70,3,6,3
140,15,80,1.3175,1.32279752835684,1.41441066664799,100,0.0035,TRUE,70,3,6,3
141,1,20,0.61,0.57816909382872,1.04193071699346,20,0,FALSE,71,3,6,3
141,2,14,-0.157142857142857,-0.360197567434998,0.590628402061094,20,0,FALSE,71,3,6,3
141,3,11,0.2,0.0607246514921419,0.817471534193962,20,0,FALSE,71,3,6,3
141,4,15,-0.253333333333333,-0.728231784534539,0.51362667145245,20,0,FALSE,71,3,6,3
141,5,8,0.55,0.364242293649564,0.920078364614204,20,0,FALSE,71,3,6,3
141,6,3,-0.733333333333333,-1.60368838248829,0.183335575846079,20,0,FALSE,71,3,6,3
142,1,100,0.544,0.525139635576759,0.999562405846048,100,0,FALSE,71,3,6,3
142,2,102,-0.0627450980392157,-0.167081779885556,0.672934162952627,100,0,FALSE,71,3,6,3
142,3,81,-3.40118237072305e-18,0.0362100692657853,0.795820016895487,100,0,FALSE,71,3,6,3
142,4,81,0.0123456790123457,-0.00415883608133298,0.761410715834913,100,0,FALSE,71,3,6,3
142,5,59,-0.0305084745762712,-0.137741672546753,0.712889821618902,100,0,FALSE,71,3,6,3
142,6,35,0.0857142857142857,-0.0575228469593082,0.728153713781148,100,0,FALSE,71,3,6,3
142,7,28,0.0928571428571429,0.136466607619667,0.821627456115697,100,0,FALSE,71,3,6,3
142,8,10,-0.18,0.0184343796967896,0.814294241301562,100,0,FALSE,71,3,6,3
142,9,8,0.15,0.223484188587469,0.822777805173315,100,0,FALSE,71,3,6,3
142,10,7,-0.2,-0.195221261716841,0.718062246763594,100,0,FALSE,71,3,6,3
143,1,20,0.76,0.724928040230533,1.11309141982384,20,0.0035,FALSE,72,3,6,3
143,2,15,-0.106666666666667,0.16861997770297,0.812611338527574,20,0.0035,FALSE,72,3,6,3
143,3,13,0.0153846153846154,0.154163055075811,0.852571039713531,20,0.0035,FALSE,72,3,6,3
143,4,5,-0.04,-0.319428392755967,0.545691388125015,20,0.0035,FALSE,72,3,6,3
143,5,4,-0.15,-0.144887884155822,0.715067753171602,20,0.0035,FALSE,72,3,6,3
143,6,4,0.1,0.455660283798301,0.953770695922301,20,0.0035,FALSE,72,3,6,3
143,7,2,1.4,0.912340784789498,1.22578341813353,20,0.0035,FALSE,72,3,6,3
144,1,100,0.852,0.856672784889324,1.18901008674358,100,0.0035,FALSE,72,3,6,3
144,2,74,0.0540540540540541,0.123306181512289,0.826555227425246,100,0.0035,FALSE,72,3,6,3
144,3,57,0.0526315789473684,0.0731039383474303,0.810452139491994,100,0.0035,FALSE,72,3,6,3
144,4,39,0.0820512820512821,0.054899166060186,0.783511277878411,100,0.0035,FALSE,72,3,6,3
144,5,28,0.0714285714285714,0.0317537223427641,0.832110700302076,100,0.0035,FALSE,72,3,6,3
144,6,18,-0.1,0.00220699467026543,0.721617297652323,100,0.0035,FALSE,72,3,6,3
144,7,5,-0.12,-0.461138998388974,0.522182162237445,100,0.0035,FALSE,72,3,6,3
145,1,20,-0.86,-0.912252084320809,0.373281520439187,20,0,TRUE,73,4,1,3
145,2,6,-0.566666666666667,-0.695050485588956,0.379399693417526,20,0,TRUE,73,4,1,3
146,1,100,-0.994,-0.921254808851541,0.373091983866028,100,0,TRUE,73,4,1,3
146,2,36,-0.927777777777778,-0.917712862261773,0.355418405615093,100,0,TRUE,73,4,1,3
146,3,22,-0.990909090909091,-0.873644134080699,0.397493654342748,100,0,TRUE,73,4,1,3
146,4,6,-0.866666666666667,-0.907337209906264,0.339782932262553,100,0,TRUE,73,4,1,3
147,1,20,-0.18,-0.127060111029061,0.686593440093527,20,0.0035,TRUE,74,4,1,3
147,2,5,-0.16,-0.692893296468947,0.390909965922202,20,0.0035,TRUE,74,4,1,3
147,3,1,-0.4,0.523675937205273,0.983697129589989,20,0.0035,TRUE,74,4,1,3
148,1,100,-0.284,-0.296133731026235,0.609503680148493,100,0.0035,TRUE,74,4,1,3
148,2,35,-0.177142857142857,-0.308118601859272,0.607802753329518,100,0.0035,TRUE,74,4,1,3
148,3,23,-0.0608695652173913,0.308128139264192,0.907388186518191,100,0.0035,TRUE,74,4,1,3
148,4,20,-0.15,0.134507652834434,0.783904318216539,100,0.0035,TRUE,74,4,1,3
148,5,8,-0.1,-0.113642739860872,0.664381167620136,100,0.0035,TRUE,74,4,1,3
148,6,7,0.228571428571429,0.336180716535276,0.915877688986266,100,0.0035,TRUE,74,4,1,3
148,7,4,0.45,0.777298651785673,1.12570333991052,100,0.0035,TRUE,74,4,1,3
148,8,10,0.4,0.215832894559409,0.828297449867215,100,0.0035,TRUE,74,4,1,3
148,9,2,0.7,0.194745673547834,0.79436559375239,100,0.0035,TRUE,74,4,1,3
149,1,20,-0.14,0.12771828511598,0.80077179315837,20,0,FALSE,75,4,1,3
149,2,19,0.0842105263157895,0.11522837598877,0.811881982818219,20,0,FALSE,75,4,1,3
149,3,9,-0.311111111111111,-0.0721657233711492,0.697231306692404,20,0,FALSE,75,4,1,3
149,4,3,0.2,-0.497409731519955,0.460066492388452,20,0,FALSE,75,4,1,3
150,1,100,0.084,0.222814870346978,0.851170845837438,100,0,FALSE,75,4,1,3
150,2,87,0.0252873563218391,0.0677500777892914,0.797731776943178,100,0,FALSE,75,4,1,3
150,3,68,0.00294117647058823,-0.021385811490478,0.753812102935763,100,0,FALSE,75,4,1,3
150,4,53,-0.0226415094339623,-0.0587370147612587,0.758176760793598,100,0,FALSE,75,4,1,3
150,5,42,1.33718267939879e-18,0.0139763855883442,0.762139286541527,100,0,FALSE,75,4,1,3
150,6,34,0.0176470588235294,0.077856184213561,0.804676142064187,100,0,FALSE,75,4,1,3
150,7,30,0.0466666666666667,0.0592062679036081,0.782398950265015,100,0,FALSE,75,4,1,3
150,8,17,-0.117647058823529,-0.140388713399832,0.698806999277382,100,0,FALSE,75,4,1,3
150,9,7,0.114285714285714,0.147073532870294,0.808344713601408,100,0,FALSE,75,4,1,3
150,10,2,-0.8,-0.294171587071636,0.583262895764464,100,0,FALSE,75,4,1,3
151,1,20,-0.13,-0.591819975780671,0.48343176519272,20,0.0035,FALSE,76,4,1,3
151,2,12,-0.183333333333333,0.279794046895367,0.915399798211971,20,0.0035,FALSE,76,4,1,3
151,3,15,0.293333333333333,0.398425975469303,0.935578834116854,20,0.0035,FALSE,76,4,1,3
151,4,16,-0.0375,0.0214712685744151,0.775014313663127,20,0.0035,FALSE,76,4,1,3
151,5,6,-0.1,0.0815620824879227,0.853511690775335,20,0.0035,FALSE,76,4,1,3
151,6,3,-0.0666666666666667,-0.768404362476923,0.375967095489258,20,0.0035,FALSE,76,4,1,3
151,7,2,-0.2,0.137356679651442,0.815954605221795,20,0.0035,FALSE,76,4,1,3
152,1,100,-0.328,-0.284526589079217,0.62844770740696,100,0.0035,FALSE,76,4,1,3
152,2,52,-0.0115384615384615,-0.00621978387088274,0.753960420355693,100,0.0035,FALSE,76,4,1,3
